Region,Year,NumDeathsPerYear,NumAttack
Middle East & North Africa,1990,750,4467
North America,1990,7,2191
South America,1990,1707,11783
South Asia,1990,2207,3523
Southeast Asia,1990,540,1628
Sub-Saharan Africa,1990,607,2268
Western Europe,1990,120,9851
Australasia & Oceania,1991,3,122
Central America & Caribbean,1991,696,9453
East Asia,1991,8,316
Eastern Europe,1991,272,211
Middle East & North Africa,1991,528,5079
North America,1991,13,2231
South America,1991,2058,13105
South Asia,1991,2222,4200
Southeast Asia,1991,567,1834
Sub-Saharan Africa,1991,1088,2539
Western Europe,1991,167,10547
Australasia & Oceania,1992,9,139
Central America & Caribbean,1992,112,9665
East Asia,1992,27,390
Eastern Europe,1992,105,302
Middle East & North Africa,1992,1766,6271
North America,1992,8,2272
South America,1992,1321,14309
South Asia,1992,2102,4745
Southeast Asia,1992,646,2113
Sub-Saharan Africa,1992,2112,3109
Western Europe,1992,173,11316
Australasia & Oceania,1994,20,153
Central America & Caribbean,1994,159,9845
East Asia,1994,34,424
Eastern Europe,1994,43,397
Middle East & North Africa,1994,2018,7322
North America,1994,89,2373
South America,1994,365,14682
South Asia,1994,746,5121
Southeast Asia,1994,367,2264
Sub-Saharan Africa,1994,1874,3541
Western Europe,1994,100,11900
Australasia & Oceania,1995,6,171
Central America & Caribbean,1995,80,10013
East Asia,1995,21,462
Eastern Europe,1995,156,465
Middle East & North Africa,1995,978,7912
North America,1995,235,2467
South America,1995,565,14937
South Asia,1995,2035,6172
Southeast Asia,1995,310,2432
Sub-Saharan Africa,1995,1093,3780
Western Europe,1995,65,12237
Australasia & Oceania,1996,23,190
Central America & Caribbean,1996,81,10129
East Asia,1996,32,551
Eastern Europe,1996,166,640
Middle East & North Africa,1996,919,8285
North America,1996,97,2578
South America,1996,694,15454
South Asia,1996,1797,6911
Southeast Asia,1996,266,2625
Sub-Saharan Africa,1996,2546,3997
Western Europe,1996,42,12713
Australasia & Oceania,1997,0,197
Central America & Caribbean,1997,73,10246
East Asia,1997,38,591
Eastern Europe,1997,115,888
Middle East & North Africa,1997,4599,8833
North America,1997,231,2715
South America,1997,1317,16228
South Asia,1997,1732,7401
Southeast Asia,1997,335,2784
Sub-Saharan Africa,1997,2186,4276
Western Europe,1997,40,13062
Australasia & Oceania,1998,0,203
Central America & Caribbean,1998,0,10247
East Asia,1998,50,600
Eastern Europe,1998,109,993
Middle East & North Africa,1998,1034,9080
North America,1998,7,2752
South America,1998,597,16336
South Asia,1998,1200,7537
Southeast Asia,1998,54,2816
Sub-Saharan Africa,1998,1405,4363
Western Europe,1998,54,13203
Australasia & Oceania,1999,2,207
Central America & Caribbean,1999,3,10255
East Asia,1999,5,604
Eastern Europe,1999,437,1131
Middle East & North Africa,1999,649,9396
North America,1999,20,2808
South America,1999,293,16470
South Asia,1999,876,7762
Southeast Asia,1999,123,2923
Sub-Saharan Africa,1999,885,4506
Western Europe,1999,12,13439
Australasia & Oceania,2000,0,213
Central America & Caribbean,2000,4,10269
East Asia,2000,1,623
Eastern Europe,2000,380,1365
Middle East & North Africa,2000,492,9668
North America,2000,0,2849
South America,2000,355,16620
South Asia,2000,1211,8119
Southeast Asia,2000,390,3179
